N,alpha,beta,lam,rho,sum,windowed_growth,tail_mean,classification
800000,1.01,0.99,0.0001,1.0,3.3060076441849438,8.350112835711076e-08,8.293301407631882e-08,convergent
800000,1.01,0.995,0.0001,1.0,3.2911673773122763,8.241922693115189e-08,8.185828154099058e-08,convergent
800000,1.01,1.0,0.0001,1.0,3.2764676743290106,8.135134226932017e-08,8.079747537630305e-08,convergent
800000,1.01,1.005,0.0001,1.0,3.2619072051410947,8.029729279439568e-08,7.975041514983137e-08,convergent
800000,1.01,1.01,0.0001,1.0,3.2474846534288595,7.925689928964808e-08,7.871692276629009e-08,convergent
800000,1.01,1.0150000000000001,0.0001,1.0,3.2331987164988685,7.82299848565371e-08,7.769682243727337e-08,convergent
800000,1.01,1.02,0.0001,1.0,3.2190481051365,7.721637488864453e-08,7.668994065138684e-08,convergent
800000,1.0150000000000001,0.98,0.0001,1.0,3.273656453230729,8.008195994639866e-08,7.953494779579587e-08,convergent
800000,1.0150000000000001,0.985,0.0001,1.0,3.2590594807598317,7.904435784358288e-08,7.850424904253273e-08,convergent
800000,1.0150000000000001,0.99,0.0001,1.0,3.244600385190306,7.802019862257481e-08,7.748690611622606e-08,convergent
800000,1.0150000000000001,0.995,0.0001,1.0,3.230277865873414,7.700930813934193e-08,7.648274597542766e-08,convergent
800000,1.0150000000000001,1.0,0.0001,1.0,3.2160906356004775,7.601151451643861e-08,7.549159782011934e-08,convergent
800000,1.0150000000000001,1.005,0.0001,1.0,3.2020374204589377,7.502664809289072e-08,7.451329306269181e-08,convergent
800000,1.0150000000000001,1.01,0.0001,1.0,3.1881169596898205,7.405454141147238e-08,7.354766529929882e-08,convergent
800000,1.0150000000000001,1.0150000000000001,0.0001,1.0,3.1743280055462364,7.309502917955957e-08,7.259455028158216e-08,convergent
800000,1.0150000000000001,1.02,0.0001,1.0,3.160669323155088,7.214794824830228e-08,7.16537858887624e-08,convergent
800000,1.02,0.98,0.0001,1.0,3.2132995865870506,7.482545321502166e-08,7.431197884852534e-08,convergent
800000,1.02,0.985,0.0001,1.0,3.1992091928009057,7.385595463855755e-08,7.334896119070862e-08,convergent
800000,1.02,0.99,0.0001,1.0,3.1852515275568054,7.289901669886856e-08,7.239842243142118e-08,convergent
800000,1.02,0.995,0.0001,1.0,3.1714253449320093,7.195447667986965e-08,7.14602008889403e-08,convergent
800000,1.02,1.0,0.0001,1.0,3.157729411840039,7.10221739798067e-08,7.053413697587553e-08,convergent
800000,1.02,1.005,0.0001,1.0,3.1441625078935935,7.010195007486341e-08,6.962007317205088e-08,convergent
800000,1.02,1.01,0.0001,1.0,3.130723425269482,6.91936484931821e-08,6.871785399773794e-08,convergent
800000,1.02,1.0150000000000001,0.0001,1.0,3.117410968573402,6.829711479081624e-08,6.78273259872356e-08,convergent
800000,1.02,1.02,0.0001,1.0,3.1042239547083854,6.741219652204311e-08,6.694833766279108e-08,convergent
