alpha_i,beta_i,residence,amplitude_std,mean_mag
2.4,2.4,35785,8.68565683924711e-07,5.320486844020798e-05
2.4,2.533333333333333,35785,8.68565683924711e-07,5.320486844020798e-05
2.4,2.6666666666666665,35785,8.68565683924711e-07,5.320486844020798e-05
2.4,2.8,35785,8.68565683924711e-07,5.320486844020798e-05
2.4,2.9333333333333336,35785,8.68565683924711e-07,5.320486844020798e-05
2.4,3.066666666666667,35785,8.68565683924711e-07,5.320486844020798e-05
2.4,3.2,35785,8.68565683924711e-07,5.320486844020798e-05
2.533333333333333,2.4,35785,8.68565683924711e-07,5.320486844020798e-05
2.533333333333333,2.533333333333333,35785,8.68565683924711e-07,5.320486844020798e-05
2.533333333333333,2.6666666666666665,35785,8.68565683924711e-07,5.320486844020798e-05
2.533333333333333,2.8,35785,8.68565683924711e-07,5.320486844020798e-05
2.533333333333333,2.9333333333333336,35785,8.68565683924711e-07,5.320486844020798e-05
2.533333333333333,3.066666666666667,35785,8.68565683924711e-07,5.320486844020799e-05
2.533333333333333,3.2,35785,8.68565683924711e-07,5.320486844020798e-05
2.6666666666666665,2.4,35785,8.68565683924711e-07,5.320486844020798e-05
2.6666666666666665,2.533333333333333,35785,8.68565683924711e-07,5.320486844020798e-05
2.6666666666666665,2.6666666666666665,35785,8.68565683924711e-07,5.320486844020799e-05
2.6666666666666665,2.8,35785,8.68565683924711e-07,5.320486844020798e-05
2.6666666666666665,2.9333333333333336,35785,8.68565683924711e-07,5.320486844020798e-05
2.6666666666666665,3.066666666666667,35785,8.68565683924711e-07,5.320486844020799e-05
2.6666666666666665,3.2,35785,8.68565683924711e-07,5.320486844020799e-05
2.8,2.4,35785,8.68565683924711e-07,5.320486844020798e-05
2.8,2.533333333333333,35785,8.68565683924711e-07,5.320486844020798e-05
2.8,2.6666666666666665,35785,8.68565683924711e-07,5.320486844020798e-05
2.8,2.8,35785,8.68565683924711e-07,5.320486844020798e-05
2.8,2.9333333333333336,35785,8.68565683924711e-07,5.320486844020798e-05
2.8,3.066666666666667,35785,8.68565683924711e-07,5.320486844020798e-05
2.8,3.2,35785,8.68565683924711e-07,5.320486844020798e-05
2.9333333333333336,2.4,35785,8.68565683924711e-07,5.320486844020798e-05
2.9333333333333336,2.533333333333333,35785,8.68565683924711e-07,5.320486844020798e-05
2.9333333333333336,2.6666666666666665,35785,8.68565683924711e-07,5.320486844020798e-05
2.9333333333333336,2.8,35785,8.68565683924711e-07,5.320486844020798e-05
2.9333333333333336,2.9333333333333336,35785,8.68565683924711e-07,5.320486844020798e-05
2.9333333333333336,3.066666666666667,35785,8.68565683924711e-07,5.320486844020798e-05
2.9333333333333336,3.2,35785,8.68565683924711e-07,5.320486844020798e-05
3.066666666666667,2.4,35785,8.68565683924711e-07,5.320486844020798e-05
3.066666666666667,2.533333333333333,35785,8.68565683924711e-07,5.320486844020798e-05
3.066666666666667,2.6666666666666665,35785,8.68565683924711e-07,5.320486844020798e-05
3.066666666666667,2.8,35785,8.68565683924711e-07,5.320486844020798e-05
3.066666666666667,2.9333333333333336,35785,8.68565683924711e-07,5.320486844020798e-05
3.066666666666667,3.066666666666667,35785,8.68565683924711e-07,5.320486844020798e-05
3.066666666666667,3.2,35785,8.68565683924711e-07,5.320486844020798e-05
3.2,2.4,35785,8.68565683924711e-07,5.320486844020798e-05
3.2,2.533333333333333,35785,8.68565683924711e-07,5.320486844020798e-05
3.2,2.6666666666666665,35785,8.68565683924711e-07,5.320486844020798e-05
3.2,2.8,35785,8.68565683924711e-07,5.320486844020798e-05
3.2,2.9333333333333336,35785,8.68565683924711e-07,5.320486844020798e-05
3.2,3.066666666666667,35785,8.68565683924711e-07,5.320486844020798e-05
3.2,3.2,35785,8.68565683924711e-07,5.320486844020798e-05
